State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Nagaland,Kohima,Jalukie,Papaya (Raw),Papaya (Raw),FAQ,07/04/2024,2000,3000.0,2500
Nagaland,Kohima,Jalukie,Tomato,Tomato,FAQ,07/04/2024,3500,4500.0,4000
Nagaland,Kohima,Jalukie,Water Melon,Water Melon,Medium,07/04/2024,4000,5000.0,4500
Nagaland,Kohima,Tseminyu,Banana,Other,Medium,07/04/2024,4200,5000.0,4500
Nagaland,Kohima,Tseminyu,Brinjal,Brinjal,FAQ,07/04/2024,2500,3000.0,2700
Nagaland,Kohima,Tseminyu,Season Leaves,Season Leaves,FAQ,07/04/2024,2000,2500.0,2300
Odisha,Balasore,Jaleswar,Brinjal,Other,FAQ,07/04/2024,2300,2700.0,2500
Odisha,Balasore,Jaleswar,Garlic,Other,FAQ,07/04/2024,13800,14200.0,14000
Odisha,Bargarh,Attabira,Water Melon,Other,Medium,07/04/2024,1300,1500.0,1400
Odisha,Bargarh,Padampur,Brinjal,Brinjal,FAQ,07/04/2024,2500,2700.0,2600
Odisha,Boudh,Boudh,Bhindi(Ladies Finger),Other,FAQ,07/04/2024,2000,4000.0,3000
Odisha,Boudh,Boudh,Tomato,Other,FAQ,07/04/2024,2000,3000.0,2500
Odisha,Boudh,Khunthabandha,Bhindi(Ladies Finger),Other,FAQ,07/04/2024,2000,3000.0,3000
Odisha,Boudh,Khunthabandha,Brinjal,Other,FAQ,07/04/2024,2000,4000.0,3000
Odisha,Boudh,Khunthabandha,Potato,Other,FAQ,07/04/2024,1800,2500.0,2000
Odisha,Dhenkanal,Hindol,Brinjal,Brinjal,FAQ,07/04/2024,2000,3000.0,2500
Odisha,Kalahandi,Kesinga,Cauliflower,Other,FAQ,07/04/2024,4000,4000.0,4000
Odisha,Kalahandi,Kesinga,Guar,Gwar,FAQ,07/04/2024,4000,5000.0,4500
Odisha,Kalahandi,Kesinga,Water Melon,Other,Large,07/04/2024,7000,8000.0,7500
Odisha,Rayagada,Gunpur,Beetroot,Beetroot,FAQ,07/04/2024,3000,3500.0,3250
Odisha,Rayagada,Gunpur,Carrot,Other,FAQ,07/04/2024,2000,3000.0,2500
Odisha,Rayagada,Rayagada(Muniguda),Drumstick,Drumstick,FAQ,07/04/2024,2000,3000.0,2500
Odisha,Sundergarh,Panposh,Bhindi(Ladies Finger),Other,FAQ,07/04/2024,3200,3600.0,3500
Odisha,Sundergarh,Panposh,Bottle gourd,Other,FAQ,07/04/2024,1200,1600.0,1500
Odisha,Sundergarh,Panposh,Pointed gourd (Parval),Other,FAQ,07/04/2024,3600,4000.0,3900
Odisha,Sundergarh,Panposh,Pumpkin,Other,FAQ,07/04/2024,800,1200.0,1100
Punjab,Amritsar,Mehta,Bottle gourd,Bottle Gourd,FAQ,07/04/2024,2000,2000.0,2000
Punjab,Amritsar,Rayya,Green Chilli,Green Chilly,FAQ,07/04/2024,2800,2800.0,2800
Punjab,Amritsar,Rayya,Raddish,Other,FAQ,07/04/2024,900,900.0,900
Punjab,Gurdaspur,Kalanaur,Brinjal,Other,FAQ,07/04/2024,2300,2450.0,2350
Punjab,Gurdaspur,Kalanaur,Green Chilli,Green Chilly,FAQ,07/04/2024,2400,2400.0,2400
Punjab,Hoshiarpur,Garh Shankar,Field Pea,Field Pea,FAQ,07/04/2024,2000,3000.0,2500
Punjab,Hoshiarpur,Garh Shankar,Garlic,Average,FAQ,07/04/2024,7000,8500.0,8000
Punjab,Hoshiarpur,Garh Shankar,Kinnow,Other,Medium,07/04/2024,2000,2500.0,2200
Punjab,Hoshiarpur,Garh Shankar,Onion,Other,FAQ,07/04/2024,1300,2000.0,1600
Punjab,Hoshiarpur,Garh Shankar,Papaya,Other,Medium,07/04/2024,1700,2500.0,2000
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi),Tomato,Other,FAQ,07/04/2024,1800,2500.0,2000
Punjab,Hoshiarpur,Mukerian(Talwara),Cucumbar(Kheera),Cucumbar,FAQ,07/04/2024,1500,2500.0,2000
Punjab,Hoshiarpur,Mukerian(Talwara),Pumpkin,Pumpkin,FAQ,07/04/2024,1500,2500.0,2000
Punjab,Hoshiarpur,Tanda Urmur,Cucumbar(Kheera),Other,FAQ,07/04/2024,2000,3000.0,2500
Punjab,Hoshiarpur,Tanda Urmur,Guava,Guava,Medium,07/04/2024,5000,6000.0,5500
Punjab,Hoshiarpur,Tanda Urmur,Kinnow,Other,Medium,07/04/2024,2000,3000.0,2500
Punjab,Hoshiarpur,Tanda Urmur,Papaya,Other,Medium,07/04/2024,4500,5000.0,4800
Punjab,Hoshiarpur,Tanda Urmur,Raddish,Other,FAQ,07/04/2024,1000,1500.0,1200
